"ID";"Gender";"Age";"Agegroups";"Income";"Region";"c_0004";"tcc";"tht";"D4_1A";"D4_1B";"CT";"v_762";"v_784";"AS_1";"AS_3";"AP_1";"AP_3";"EPS1";"EPS3";"EPP1";"EPP3";"FPS1";"FPS3";"FPP1";"FPP3";"CPS1";"CPS3";"CPP1";"CPP3";"int1";"int2";"MC1";"MC2";"UT";"D1";"AC1";"CR1";"K1_1";"K1_2";"K1_3";"K1_4";"K1_5";"K1_6";"K1_7";"K1_8";"K1_9";"SN_1";"SN_2";"SN_3";"SNN_2";"WB5";"DN_1";"DN_2";"DN_7";"SO1_3";"CCD_1";"CCD_2";"CCD_3";"SD4";"SD9_1";"SD9_2";"SD9_2a";"SD9_3";"PO1";"PO2";"PO3";"PO4";"PO5";"income_detailed";"SDS_1";"SDS_2";"SDS_3";"SDS_4";"SDS_5";"SDS_6";"SDS_7";"SD5"
8069;2;33;2;1;6;1;82;125;4;4;1;1;1;1;4;1;4;4;4;4;4;1;4;1;3;5;3;5;3;4;4;3;3;4;2;8;1;2;2;2;2;2;2;2;2;2;3;3;3;4;3;2;2;1;4;3;3;3;5;-99;-99;-99;3;3;3;3;3;3;99;2;5;4;2;4;5;1;1
8078;1;43;2;2;13;2;79;0;5;7;1;1;-77;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;7;5;5;1;2;8;1;1;1;1;1;1;1;1;1;1;2;1;2;5;3;1;1;1;4;1;3;3;3;1;1;0;3;1;1;1;1;1;4;1;4;5;2;6;5;4;1
8082;1;45;2;4;7;1;61;73;4;4;1;1;1;1;4;1;4;4;5;4;4;1;4;1;4;4;3;5;3;6;5;2;3;3;2;8;1;3;3;3;3;3;3;3;3;3;3;2;2;4;4;2;1;1;4;1;1;2;4;-99;1;-99;2;5;4;3;4;4;7;6;3;5;2;6;5;5;1
8084;2;58;3;4;8;2;56;0;5;5;1;1;-77;1;5;1;5;5;5;5;5;1;4;1;4;1;2;1;1;5;5;3;5;3;3;8;1;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;1;1;1;4;0;0;0;2;4;1;4;3;4;8;1;2;2;2;7;6;2;1
8088;2;76;4;1;1;1;66;81;2;3;1;1;1;3;5;3;5;2;4;2;5;3;4;2;4;3;3;2;2;2;3;3;4;3;3;8;1;3;3;4;4;3;3;4;4;3;3;3;3;3;4;1;2;1;4;1;1;1;5;-99;-99;-99;1;3;5;1;4;5;3;2;4;4;2;5;6;2;7
8092;2;44;2;3;9;1;71;84;5;4;1;1;1;1;5;1;5;3;5;3;5;1;4;1;5;4;3;4;3;5;4;3;3;3;2;8;1;4;4;4;5;2;4;5;5;2;4;2;2;4;2;4;4;4;4;1;1;1;5;-99;1;1;2;4;3;3;3;3;6;2;6;4;2;6;6;1;2
8094;1;41;2;3;6;2;53;0;7;7;1;1;-77;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;8;8;1;1;7;2;8;1;3;1;1;1;1;1;1;1;1;5;5;1;5;5;1;1;1;4;5;5;5;5;1;-99;-99;2;99;1;99;99;1;7;4;5;5;2;7;6;7;3
8095;2;41;2;1;8;1;65;70;5;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;4;4;4;4;5;1;3;3;3;2;8;5;1;1;1;1;1;1;1;1;1;3;3;3;3;3;1;1;1;3;3;3;3;3;-99;-99;-99;2;1;1;1;1;1;1;1;3;4;2;7;5;1;2
8098;1;53;3;4;1;2;50;0;6;6;1;1;-77;2;2;2;3;4;2;4;3;1;2;2;2;4;3;4;3;6;6;3;3;2;2;8;1;1;1;2;1;1;2;2;2;1;2;2;2;4;4;2;1;1;4;3;4;4;5;-99;-99;-99;3;4;4;3;3;2;9;6;2;7;2;5;4;6;1
8100;2;34;2;1;2;2;55;0;3;5;1;1;-77;1;3;1;3;4;3;4;3;1;3;2;3;1;2;1;2;3;5;2;3;3;2;8;1;1;1;1;1;1;1;1;2;1;2;2;2;4;3;2;1;1;4;2;2;2;5;-99;-99;2;2;2;2;2;2;2;99;4;2;6;2;2;7;2;6
8101;1;66;4;2;7;1;59;73;4;4;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;5;5;5;5;4;4;3;3;4;2;-99;1;2;2;1;1;1;1;2;2;1;2;2;3;2;2;3;2;3;4;2;2;2;4;-99;-99;-99;1;3;4;3;3;3;6;3;3;3;4;3;5;3;7
8102;1;69;4;2;7;1;101;107;5;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;3;2;3;1;8;1;2;2;2;2;2;2;3;3;2;2;2;2;4;3;1;1;1;3;2;2;3;4;0;0;0;1;3;3;3;3;3;4;2;2;5;2;2;5;4;7
8109;1;46;3;1;6;1;165;209;7;3;1;1;1;3;3;1;3;2;2;2;3;1;3;1;3;5;3;5;2;7;3;3;3;1;2;8;1;3;3;3;3;2;1;1;2;1;3;3;3;3;2;2;3;2;4;1;1;1;4;1;1;2;1;4;5;1;2;4;1;6;4;5;4;5;4;1;6
8110;2;41;2;2;9;2;491;0;2;6;1;1;-77;1;2;2;2;2;2;2;1;1;1;1;2;5;3;5;2;2;6;4;5;3;3;8;2;4;5;4;4;4;4;NA;4;4;4;4;4;5;4;4;4;4;4;1;NA;1;5;-99;1;2;2;4;4;4;4;5;5;7;1;7;2;5;5;5;1
8116;2;37;2;1;1;2;238;0;6;6;1;1;-77;1;5;1;4;3;4;4;4;1;4;1;4;1;4;1;4;6;6;3;3;3;2;8;1;2;2;2;3;1;2;2;3;2;3;2;3;3;2;1;1;1;4;3;2;2;5;-99;-99;-99;1;4;3;2;3;4;4;1;4;5;2;5;7;1;3
